"","sequence","NI_annotation","EggNOG_annotation"
"1","isogroup10","isogroup10|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"7893","isogroup4746","isogroup4746|darkorange kME=0.31|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"7894","isogroup4754","isogroup4754|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7895","isogroup476","isogroup476|darkgreen kME=0.61|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"7896","isogroup4771","isogroup4771|skyblue kME=0.35|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"7897","isogroup4789","isogroup4789|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7898","isogroup4799","isogroup4799|plum1 kME=0.41|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.",NA
"7899","isogroup484","isogroup484|black kME=0.34|Associations:(R2=+0.29) mean speed in response to visual stimulus.","serine threonine tyrosine kinase 1"
"7900","isogroup4840","isogroup4840|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","Cadherins are calcium dependent cell adhesion proteins (By similarity)"
"7901","isogroup486","isogroup486|red kME=0.32|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","R3H domain containing 2"
"7902","isogroup4862","isogroup4862|greenyellow kME=0.31|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"7903","isogroup4869","isogroup4869|midnightblue kME=0.41|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"7904","isogroup4871","isogroup4871|brown kME=0.52|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","SIX homeobox 1"
"7905","isogroup4874","isogroup4874|blue kME=0.46|Associations:(R2=+0.49) response latency.",NA
"7906","isogroup4879","isogroup4879|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7907","isogroup4884","isogroup4884|blue kME=0.37|Associations:(R2=+0.49) response latency.",NA
"7908","isogroup4906","isogroup4906|darkred kME=0.38|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7909","isogroup4908","isogroup4908|green kME=0.76|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","ribosomal protein L24"
"7910","isogroup4910","isogroup4910|brown kME=0.55|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","transducin (beta)-like 1 X-linked receptor 1"
"7911","isogroup4918","isogroup4918|midnightblue kME=0.41|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"7912","isogroup492","isogroup492|black kME=0.31|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"7913","isogroup4931","isogroup4931|green kME=0.26|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","general transcription factor IIH, polypeptide 5"
"7914","isogroup4944","isogroup4944|blue kME=0.31|Associations:(R2=+0.49) response latency.",NA
"7915","isogroup4946","isogroup4946|brown kME=0.32|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"7916","isogroup4949","isogroup4949|darkorange kME=0.38|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)"
"7917","isogroup4952","isogroup4952|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7918","isogroup496","isogroup496|darkorange kME=0.43|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","proteasome (prosome, macropain) 26S subunit, ATPase, 6"
"7919","isogroup4963","isogroup4963|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7920","isogroup4967","isogroup4967|darkorange kME=0.84|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","S100 calcium binding protein"
"7921","isogroup4969","isogroup4969|darkorange kME=0.32|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Neurotensin/neuromedin N precursor"
"7922","isogroup4983","isogroup4983|red kME=0.45|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","Family with sequence similarity 125, member B"
"7923","isogroup4999","isogroup4999|darkgrey kME=0.54|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.","C8 domain"
"7924","isogroup5003","isogroup5003|blue kME=0.38|Associations:(R2=+0.49) response latency.",NA
"7925","isogroup501","isogroup501|green kME=0.71|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","ribosomal protein L23"
"7926","isogroup5015","isogroup5015|greenyellow kME=0.46|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"7927","isogroup5026","isogroup5026|cyan kME=0.62|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","dual specificity phosphatase 5"
"7928","isogroup5029","isogroup5029|darkgreen kME=0.68|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","SEC24 family, member A (S. cerevisiae)"
"7929","isogroup5030","isogroup5030|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7930","isogroup5038","isogroup5038|plum1 kME=0.49|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.","elastin microfibril interfacer 1"
"7931","isogroup5047","isogroup5047|brown kME=0.29|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"7932","isogroup5052","isogroup5052|greenyellow kME=0.44|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"7933","isogroup5063","isogroup5063|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","PMP-22/EMP/MP20/Claudin family"
"7934","isogroup5111","isogroup5111|green kME=0.79|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Ribosomal protein L7"
"7935","isogroup5118","isogroup5118|green kME=0.64|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Tryp_SPc"
"7936","isogroup5124","isogroup5124|plum1 kME=0.44|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.",NA
"7937","isogroup5129","isogroup5129|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7938","isogroup513","isogroup513|red kME=0.37|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"7939","isogroup5136","isogroup5136|darkgreen kME=0.52|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","poly(A) binding protein, cytoplasmic 4 (inducible form)"
"7940","isogroup5147","isogroup5147|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7941","isogroup5150","isogroup5150|skyblue kME=0.43|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"7942","isogroup5172","isogroup5172|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7943","isogroup5173","isogroup5173|greenyellow kME=0.48|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"7944","isogroup5176","isogroup5176|greenyellow kME=0.6|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","tumor protein, translationally-controlled 1"
"7945","isogroup5177","isogroup5177|skyblue kME=0.41|Associations:(R2=-0.38) response duration to acoustic stimulus.","karyopherin alpha 3 (importin alpha 4)"
"7946","isogroup5179","isogroup5179|darkred kME=0.59|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7947","isogroup5182","isogroup5182|blue kME=0.34|Associations:(R2=+0.49) response latency.",NA
"7948","isogroup5184","isogroup5184|green kME=0.82|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Ribosomal protein S20"
"7949","isogroup5188","isogroup5188|green kME=0.51|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"7950","isogroup5192","isogroup5192|blue kME=0.44|Associations:(R2=+0.49) response latency.",NA
"7951","isogroup5193","isogroup5193|blue kME=0.28|Associations:(R2=+0.49) response latency.",NA
"7952","isogroup5196","isogroup5196|brown kME=0.82|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Visual pigments are the light-absorbing molecules that mediate vision. They consist of an apoprotein, opsin, covalently linked to cis-retinal"
"7953","isogroup5205","isogroup5205|darkred kME=0.35|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"7954","isogroup5206","isogroup5206|green kME=0.6|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)"
"7955","isogroup5210","isogroup5210|green kME=0.35|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Astacin (Peptidase family M12A)"
"7956","isogroup5212","isogroup5212|brown kME=0.61|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"7957","isogroup5218","isogroup5218|midnightblue kME=0.37|Associations:(R2=+0.42) mean meandering in response to visual stimulus.","protein tyrosine phosphatase, non-receptor type 6"
"7958","isogroup5220","isogroup5220|green kME=0.81|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","60S ribosomal protein L18"
"7959","isogroup5222","isogroup5222|brown kME=0.66|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"7960","isogroup5227","isogroup5227|brown kME=0.35|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","biogenesis of lysosomal organelles complex-1, subunit 4, cappuccino"
